Number of clients,Sorting time (s),Server response time (s),Client response time (s)
10,1.7103499999999998,1.7103499999999998,1.8037333333333334
22,4.148909090909091,4.148969696969697,4.242727272727273
34,6.964637254901961,6.964686274509805,7.1600343137254905
46,9.93781884057971,9.937840579710144,10.135731884057972
