Number of clients,Sorting time (s),Server response time (s),Client response time (s)
10,1.4707000000000001,1.5797333333333334,1.7651666666666668
22,1.9215227272727273,4.026780303030303,4.247212121212121
34,1.970887254901961,6.909848039215686,7.109161764705882
46,1.9870942028985508,9.735384057971014,9.851746376811594
