Number of clients,Sorting time (s),Server response time (s),Client response time (s)
10,1.4708599999999998,14.780959999999999,14.974260000000001
22,1.5732000000000002,11.742118181818181,11.747127272727273
34,1.5962882352941177,15.572923529411764,15.575323529411763
46,1.594795652173913,39.545117391304345,39.54901304347826
